started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-07-01 04:51:50.335000+00:00,2026-07-01 04:58:21.017000+00:00,391,1816,Hansaparken,I gangtunell ved butikk,60.386044,5.349254,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 04:52:49.591000+00:00,2026-07-01 04:58:09.055000+00:00,319,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon,60.38891,5.333817,7,Neumanns gate,Ved Konsertpaleet,60.391386,5.319195
2026-07-01 04:55:43.697000+00:00,2026-07-01 05:28:32.729000+00:00,1969,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon,60.38891,5.333817,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078
2026-07-01 04:56:08.352000+00:00,2026-07-01 04:59:51.250000+00:00,223,640,Damsgårdsveien,Ved inngang Bunnpris,60.381512,5.319435,641,Krohnviken,Ved Solheimsviken bobåthavn,60.378107,5.331021
2026-07-01 04:57:18.764000+00:00,2026-07-01 04:59:25.463000+00:00,127,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327,157,Florida Bybanestopp,ved Florida bybanestopp,60.382255,5.332332
2026-07-01 04:57:23.894000+00:00,2026-07-01 05:03:13.846000+00:00,350,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385923,5.321432,2313,Solheimsviken,Utenfor Beddingen,60.377082,5.335575
2026-07-01 05:03:28.271000+00:00,2026-07-01 05:12:23.196000+00:00,535,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.39455,5.32705,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38175,5.331699
2026-07-01 05:05:46.345000+00:00,2026-07-01 05:17:59.528000+00:00,733,638,Damsgårdsallmenningen,Nede ved kai,60.386709,5.29913,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-07-01 05:09:37.061000+00:00,2026-07-01 05:27:36.255000+00:00,1079,815,Gågaten,Strandgaten 60,60.39507,5.318798,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.371787,5.349553
2026-07-01 05:11:22.404000+00:00,2026-07-01 05:16:27.440000+00:00,305,641,Krohnviken,Ved Solheimsviken bobåthavn,60.378107,5.331021,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.383934,5.33345
2026-07-01 05:12:28.665000+00:00,2026-07-01 05:23:22.436000+00:00,654,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654,646,Bjørnsonsgate,Ved Årstad VGS,60.373986,5.342082
2026-07-01 05:13:29.837000+00:00,2026-07-01 05:21:28.079000+00:00,478,33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.36918,5.349444,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
