started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-03-01 09:37:07.501000+00:00,2026-03-01 10:07:36.736000+00:00,1829,117,Verftet,Ved kaien på ved Georgernes verft,60.395877,5.307756,140,Sandviksbodene,Sjøgaten 2A,60.405695,5.323374
2026-03-01 09:55:00.761000+00:00,2026-03-01 10:16:47.322000+00:00,1307,638,Damsgårdsallmenningen,Nede ved kai,60.386709,5.29913,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078
2026-03-01 09:55:04.170000+00:00,2026-03-01 10:16:38.315000+00:00,1294,638,Damsgårdsallmenningen,Nede ved kai,60.386709,5.29913,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078
2026-03-01 09:58:54.112000+00:00,2026-03-01 10:02:39.672000+00:00,226,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.383162,5.324053,799,HF-Bygget,Sydnesplassen,60.387854,5.318713
2026-03-01 10:03:04.070000+00:00,2026-03-01 10:07:40.756000+00:00,277,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.383934,5.33345
2026-03-01 10:17:00.725000+00:00,2026-03-01 10:24:29.927000+00:00,449,301,Lars Hilles,Lars Hilles gate 18,60.388118,5.331487,802,Håkonsgaten,Ved inngang Bergen Kino,60.391185,5.318026
2026-03-01 10:17:00.878000+00:00,2026-03-01 10:24:05.843000+00:00,425,1045,Damsgårdsveien 2,Midlertidig plassering frem til våren 2020,60.378022,5.329383,804,Stenersen,Til høyre for inngang,60.390174,5.324792
2026-03-01 10:17:34.131000+00:00,2026-03-01 10:20:20.257000+00:00,166,298,Østre Murallmenningen øvre,Østre Murallmenningen / Markeveien,60.393977,5.318713,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.39455,5.32705
2026-03-01 10:22:28.435000+00:00,2026-03-01 10:27:46.953000+00:00,319,7,Neumanns gate,Ved Konsertpaleet,60.391386,5.319195,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-03-01 10:27:08.357000+00:00,2026-03-01 10:33:37.630000+00:00,389,7,Neumanns gate,Ved Konsertpaleet,60.391386,5.319195,814,Nykirken,i Strandgaten,60.396949,5.313495
2026-03-01 10:30:53.097000+00:00,2026-03-01 10:41:24.848000+00:00,632,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-03-01 10:31:49.705000+00:00,2026-03-01 11:16:03.549000+00:00,2654,219,Jonsvollkvartalet,Jonsvollsgaten,60.392677,5.317308,3397,Kristianborg bybanestopp,"Under broen, ved kunstverk",60.357797,5.34207
2026-03-01 10:33:35.524000+00:00,2026-03-01 10:42:01.466000+00:00,506,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467,5.310008,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-03-01 10:37:19.302000+00:00,2026-03-01 11:17:26.902000+00:00,2408,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.375141,5.338517,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-03-01 10:37:30.617000+00:00,2026-03-01 10:55:58.919000+00:00,1108,640,Damsgårdsveien,Ved inngang Bunnpris,60.381512,5.319435,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654
2026-03-01 10:38:01.391000+00:00,2026-03-01 10:56:05.227000+00:00,1084,640,Damsgårdsveien,Ved inngang Bunnpris,60.381512,5.319435,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654
2026-03-01 10:38:24.884000+00:00,2026-03-01 10:42:43.790000+00:00,259,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385923,5.321432,157,Florida Bybanestopp,ved Florida bybanestopp,60.382255,5.332332
2026-03-01 10:42:17.909000+00:00,2026-03-01 11:13:31.896000+00:00,1874,222,Sandviken Brygge,ved Måseskjæret,60.412946,5.32087,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656,5.322143
2026-03-01 10:42:34.322000+00:00,2026-03-01 10:49:17.997000+00:00,404,1045,Damsgårdsveien 2,Midlertidig plassering frem til våren 2020,60.378022,5.329383,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078
2026-03-01 10:48:49.541000+00:00,2026-03-01 11:00:14.588000+00:00,685,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-03-01 10:49:01.163000+00:00,2026-03-01 11:00:06.048000+00:00,665,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-03-01 10:49:20.537000+00:00,2026-03-01 10:58:20.765000+00:00,540,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223,799,HF-Bygget,Sydnesplassen,60.387854,5.318713
2026-03-01 10:51:21.901000+00:00,2026-03-01 11:03:31.720000+00:00,730,638,Damsgårdsallmenningen,Nede ved kai,60.386709,5.29913,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223
2026-03-01 10:53:45.945000+00:00,2026-03-01 11:03:20.772000+00:00,575,638,Damsgårdsallmenningen,Nede ved kai,60.386709,5.29913,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223
2026-03-01 10:55:10.429000+00:00,2026-03-01 11:57:36.575000+00:00,3746,795,Fosswinckels gate,I gågate,60.386582,5.327979,795,Fosswinckels gate,I gågate,60.386582,5.327979
2026-03-01 10:55:17.222000+00:00,2026-03-01 11:01:27.615000+00:00,370,301,Lars Hilles,Lars Hilles gate 18,60.388118,5.331487,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251
2026-03-01 11:06:38.560000+00:00,2026-03-01 11:19:25.183000+00:00,767,140,Sandviksbodene,Sjøgaten 2A,60.405695,5.323374,368,Festplassen,Festplassen,60.391143,5.3257
2026-03-01 11:10:30.930000+00:00,2026-03-01 11:16:03.138000+00:00,332,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251,791,Busstasjonen 4 Sør,Mot ADO,60.387059,5.335634
2026-03-01 11:16:52.450000+00:00,2026-03-01 11:39:01.392000+00:00,1329,3397,Kristianborg bybanestopp,"Under broen, ved kunstverk",60.357797,5.34207,131,Gulating,Gulatings plass ved Rådhuset,60.391984,5.326618
2026-03-01 11:19:27.665000+00:00,2026-03-01 11:30:05.267000+00:00,638,791,Busstasjonen 4 Sør,Mot ADO,60.387059,5.335634,5255,Tollbodalmenningen,Ved siden av lekeplass,60.399223,5.310526
